name,artist,videoID,emotion
やさしい気持ち,Chara,RDHBkza_ZcI,angry
まつり,Fujii Kaze,NwOvu-j_WjY,angry
かくれんぼ,Yuuri,oi8ArKYLwBY,angry
クリスマスソング,back number,7zBeQezaz4U,angry
Be...,Ms.OOJA,JdnQBg-mm-8,angry
花束を君に,Hikaru Utada,yCZFof7Y0tQ,angry
白い恋人達,Keisuke Kuwata,pvqvBAA-0AE,angry
Ref:rain,Aimer,mvkbCZfwWzA,angry
恋だろ,wacci,B4cbjIMz6DY,angry
ハッピーエンド,back number,T8y_RsF4TSw,angry
高嶺の花子さん,back number,SII-S-zCg-c,angry
Life goes on,Dragon Ash,8F2s8ivKXNY,angry
ビリーヴ,Che'Nelle,JM5SOmnMkqA,angry
Everything (It's you),Mr.Children,ZMLdS2ZiI8w,angry
CAN YOU CELEBRATE?,Namie Amuro,BPrJu0Qx8k0,angry
ランデヴー,シャイトープ,OGrGg8TvEjU,angry
ヴァイオレット,Tomoyo Harada,oJKCuagInic,angry
桜の木になろう,AKB48,n9hNT5ezcnc,angry
もっと強く,EXILE,J0TSrlig76c,angry
アジアの純真,Puffy AmiYumi,EO4tRtPBq30,angry
Beautiful World,Hikaru Utada,jmKRgqWGrWc,angry
CAN YOU CELEBRATE?,Namie Amuro,BPrJu0Qx8k0,angry
春を告げる,yama,DC6JppqHkaM,angry
Jupiter,Ayaka Hirahara,aGWzRUdn0so,angry
Jupiter,Ayaka Hirahara,aGWzRUdn0so,angry
旅立ちの前に,WANIMA,EY3-dsryGmI,angry
DEPARTURES,globe,Z-asfMte17s,angry
Story,AI,HxBvrQePGYY,angry
恋音と雨空,AAA,A_1t2Dkd2Io,angry
朝顔,Yuta Orisaka,tZs7LDOxRes,angry
いつか - SOMEDAY (feat. tonun) - 45s Edit,Tokimeki Records,qxBeqKBJrPk,angry
ボイスメモ No. 5,CHANMINA,OpVwmSuCheA,angry
FLASH,Perfume,jprhe-cWKGs,angry
心做し,majiko,6KNPNJHrv9I,angry
アポトーシス,OFFICIAL HIGE DANDISM,PZX2npwj6jY,angry
Wherever you are,ONE OK ROCK,fug816ocVqs,angry
かたちあるもの,Ko Shibasaki,kXRoe4QcGNQ,angry
碧いうさぎ,Noriko Sakai,LH3op7GECSk,angry
愛をこめて花束を,Superfly,gU5oN0KVofU,angry
115万キロのフィルム,OFFICIAL HIGE DANDISM,ReCnlwVZj1M,angry
炎,LiSA,4DxL6IKmXx4,angry
リカ,SIX LOUNGE,0zmK2-ioEGg,angry
NIPPON,Sheena Ringo,p-RLC9ZgjhY,angry
虹,YUZU,hkBbUf4oGfA,angry
