name,artist,videoID,emotion
前前前世 - movie ver.,RADWIMPS,PDSkFeMVNFs,happy
ノンフィクション,Ken Hirai,ihMPLCNykZI,happy
サクラ咲ケ,ARASHI,p8RnIn7iqJ0,happy
Burning Friday Night,Lucky Kilimanjaro,KftLSF5mAjE,happy
シーソーゲーム~勇敢な恋の歌~,Mr.Children,mOJIchNt3RY,happy
花唄,GReeeeN,nvz6exaaSxA,happy
レーザービーム,Perfume,K54CYowOqxM,happy
大阪LOVER,DREAMS COME TRUE,E-DAUGDEeRA,happy
NIGHT TOWN,フレンズ,p428-KKGtYU,happy
UMBRELLA,THREE1989,CvBfHwUxHIk,happy
サヨナラの意味,Nogizaka46,M3eGhMORIpY,happy
Unreachable love song,Tani Yuuki,BA835e3VYx0,happy
Love Is an Open Door - Japanese Version,Sayaka Kanda,I2zZkpJ30TM,happy
忘れられないの,sakanaction,BxqYUbNR-c0,happy
プラスティック・スター,Takashi Fujii,HzdI3fULlbo,happy
さすらい,Tamio Okuda,pdbSLpBgQ2I,happy
空も飛べるはず,SPITZ,h-kQw4JqCHE,happy
BOY MEETS GIRL,TRF,RhxF9Qg5mOU,happy
hazama,4na,gCMOGyEIbEs,happy
カタコト,sloppy dim,kKLC2D603G0,happy
B級,CHANMINA,6PimzF04UMQ,happy
Garden,Fujii Kaze,vkPfKnUaq5k,happy
ラブ・ストーリーは突然に,Kazumasa Oda,VwJruL9nBwQ,happy
会いたくて 会いたくて,Kana Nishino,y1KqtVpmh1s,happy
不思議,Gen Hoshino,ilnLczvLGAY,happy
Sugar Rush,AKB48,w-ZLWVDwqIw,happy
Automatic,Hikaru Utada,-9DxpPiE458,happy
名前を呼ぶよ,SUPER BEAVER,gTePfOIDLao,happy
HAPPY BIRTHDAY,back number,8xy8qIjdC3g,happy
空に笑えば,wacci,7Q28SCQyqtM,happy
大切なもの,Road Of Major,s5tEjshfryA,happy
空の青さを知る人よ,Aimyon,ztdpBUDf00o,happy
チョット (2019 Remastered),Maki Ohguro,bK4PP9OwlsI,happy
名前は片想い,indigo la End,aqoeNOw4_uQ,happy
のめりこめ、震えろ。,Tempalay,XbfGem5GN7M,happy
R.Y.U.S.E.I.,J SOUL BROTHERS III,4-Gw0TAM6-Q,happy
アイデア,Gen Hoshino,RlUb2F-zLxw,happy
3D (feat. Jack Harlow),Jung Kook,mHNCM-YALSA,happy
Kaiju no Hanauta,Vaundy,UM9XNpgrqVk,happy
Choo Choo TRAIN,EXILE,9N28dNvOu2A,happy
Sunny Day Sunday,Sentimental Bus,A5v2SB40VBE,happy
もっと強く抱きしめたなら [WANDS 第5期ver.],WANDS,eZZKkRS0HrA,happy
ガーデン,Fujii Kaze,vkPfKnUaq5k,happy
ただ君に晴れ,ヨルシカ,-VKIqrvVOpo,happy
はしりがき,Macaroni Empitsu,G-fvkUwK-Wo,happy
群青,YOASOBI,Y4nEEZwckuU,happy
東京cruisin',tonun,sTvIr6Ql6b0,happy
もう恋なんてしない,Noriyuki Makihara,naz0-szzYXk,happy
あなたに会えてよかった,Kyoko Koizumi,0nvnYwi6mQE,happy
チェリー,SPITZ,Eze6-eHmtJg,happy
sure danse,Kome Kome Club,-KxzzTSF6y0,happy
gloomy girl,"FAREWELL, MY L.u.v",LsuSjxJVR7I,happy
Hakuna Matata,Asei (Miki),0MxulhivCvI,happy
琥珀色の素肌,tonun,TwlDVhvA-wc,happy
そばかす,JUDY AND MARY,8iSG4jIUkcU,happy
はじめのいっぽ,このきち,-9drpIigRf8,happy
DIAMONDS (ダイアモンド),PRINCESS PRINCESS,IKjRLKQo7O0,happy
ナイトオンザプラネット,Creep Hyp,Y_VyszSZdMc,happy
Nichijo,OFFICIAL HIGE DANDISM,z30Y572EmCk,happy
WHITE BREATH,T.M.Revolution,Xnws-1Oz4kM,happy
白日,King Gnu,ony539T074w,happy
花,ORANGE RANGE,rY3JFD52ipk,happy
残酷な天使のテーゼ,Yoko Takahashi,o6wtDPVkKqI,happy
Destiny,Che'Nelle,cWIWtBt7YGY,happy
チューリングラブ,Nanawoakari,L-MVk5I6wjo,happy
CHE.R.RY,YUI,qh9Vwj1MgtE,happy
ロコローション,ORANGE RANGE,3-kV0xU5aNc,happy
ブルーバード,Ikimonogakari,KpsJWFuVTdI,happy
