name,artist,videoID,emotion
バイ・マイ・サイ,RADWIMPS,BIfY2s2A4IU,sad
サイレント・イヴ,Midori Karashima,cknuQVvF05o,sad
虹の彼方に,ReoNa,QtXNvoPfO84,sad
Forever Love,X JAPAN,5fqnfiwBfIo,sad
贖罪,傘村トータ,j1ArobXFdyQ,sad
Squall,松本英子,GosmxY04_G0,sad
Missing,Toshinobu Kubota,10vkpd2-wEk,sad
桜 '09ヴァージョン,Kyogo Kawaguchi,X7LTWS3hvMs,sad
勿忘,Awesome City Club,zkZARKFuzNQ,sad
どこまでも 〜How Far I'll Go〜,モアナ(屋比久知奈),Xz5tOyOafVc,sad
True Love's Kiss - Japanese Version,MC Kids,N_tCF2ZNsQY,sad
Go The Distance,Fumiya Fujii,5xhDdTiHKoE,sad
桜,KOBUKURO,Dsdxxrnz1AQ,sad
LOOP,SIRUP,NEoFGaixiC8,sad
The Bells of Notre Dame - Japanese Version,Akihiko Mitsueda,vw5DvrduiVU,sad
PIECE OF MY WISH,Miki Imai,EflkJbmLzk8,sad
I Will Go Sailing No More - Japanese Version,Diamond Yukai,QGNdyv2mUq8,sad
ただ・・・逢いたくて,EXILE,cGIiYhxZ4CE,sad
遥か,GReeeeN,im2b4ZVwjzY,sad
変わらないもの,Hanako Oku,Lq2-HHP04jM,sad
さくら - 独唱,Naotaro Moriyama,p_2F2lKV9uA,sad
ひまわりの約束,Motohiro Hata,rKsQ-3N-Bks,sad
歌うたいのバラッド,Kazuyoshi Saito,9G82-cb5zUk,sad
友 ~旅立ちの時~,YUZU,WgAhMfhdZ4c,sad
Tomorrow never knows,Mr.Children,Nxwt_s1lM04,sad
napori,Vaundy,ZeIGVnkYX04,sad
ヒトリ,かりん,dOt5uuBrSWU,sad
雪の華,Mika Nakashima,mF5Qq2YheTg,sad
蕾(つぼみ),KOBUKURO,WPH1BLHKOJE,sad
栄光の架橋,YUZU,PRJoAPH0ZGo,sad
栄光の架橋,YUZU,PRJoAPH0ZGo,sad
"カラー・オブ・ザ・ウィンド - from ""ポカホンタス""",Yuko Doi,fX-XQnzhmjg,sad
Let It Go - Japanese Version,Takako Matsu,84jjnI6M2UI,sad
Circle of Life/Nants' Ingonyama,Miwa Sugai,CF-c1K3WWg4,sad
"これが恋かしら - from ""シンデレラ""",板橋亜美,7ouhwql6Vp4,sad
また君に会える日,Shion Miyawaki,HUFE6pLt6DY,sad
10月無口な君を忘れる,あたらよ,zO8yNYEsYTc,sad
桜坂,Masaharu Fukuyama,AGYJ6jeu3p8,sad
Belle - Japanese Version,Eri Ito,lhUi-UV7wJo,sad
また逢う日まで,HIRAIDAI,SQcq990N5NY,sad
想無,えぬ,e-VX84RMteg,sad
So Close - Japanese Version,Noriyuki Konishi,BrZoP3rX-sM,sad
明けない夜のリリィ,傘村トータ,-Y99kjXi2SE,sad
桜坂,Masaharu Fukuyama,AGYJ6jeu3p8,sad
Beauty and the Beast - Japanese Version,POPURA,fRJtgwCERcE,sad
春の歌,SAKURA FUJIWARA,94uxNQqmknk,sad
First Day,Thomas Newman,n7rE-Wlo5wg,sad
未来,KOBUKURO,VySmuia_K-k,sad
三日月,ayaka,wHw6W4BznTM,sad
ひまわりの約束,Motohiro Hata,rKsQ-3N-Bks,sad
Answer,Lilas Ikuta,fmDB-HyPNYc,sad
Beauty and the Beast,Natsumi Kon,axySrE0Kg6k,sad
