name,artist,videoID,emotion
魔法の絨毯,川崎鷹也,R7wI90H6Wuc,surprise
Gaston - Japanese Version,Saiji Matsumoto,Vl-kRaJ66rM,surprise
One Jump Ahead - Japanese Version,Kazutaka Ishii,A0EFiNBhko4,surprise
春愁,Mrs. GREEN APPLE,k1Ci-5lr-DA,surprise
You've Got a Friend in Me - Japanese Version,Diamond Yukai,4ikFGSSwe04,surprise
Yume Made Ato Sukoshi - Japanese Version,Honoka Suzuki,tz0ZUDUImJI,surprise
"Hello, my friend",Yumi Matsutoya,K6dmZhdCYs0,surprise
Fixer Upper - Japanese Version,Rika Sugimura,F0vwM4cY7Zo,surprise
セイカツ,おさるのうた,oop9fEGRA84,surprise
I Just Can't Wait to Be King - Japanese Version,Tatsuya Nakazaki,WoP_JMO4gI8,surprise
"Monsters, Inc.",Randy Newman,ayMPmc0_2r8,surprise
"Hello, my friend",Yumi Matsutoya,K6dmZhdCYs0,surprise
僕らまた,SG,hSdcy2_vtaQ,surprise
夜明けと蛍,麻婆豆腐,EpFxTXgElLA,surprise
馬と鹿,Kenshi Yonezu,ptnYBctoexk,surprise
The Lion Sleeps Tonight,Asei (Miki),OQlByoPdG6c,surprise
Mousugu Ningenda - Japanese Version,Atom Kobayashi,qoSMWHBtovE,surprise
回る空うさぎ,Orangestar,CLywtSOj4NA,surprise
Hakuna Matata - Japanese Version,Yuji Mitsuya,Y-b_jd6GhNs,surprise
Easy,TAIKING,PWK8EuUSMSI,surprise
Go back,iri,KxnN64NSGMY,surprise
You've Got A Friend In Me - Japanese Version,Yasuo Suzuki,4ikFGSSwe04,surprise
題名のない今日,HIRAIDAI,mfwdvhYIGtw,surprise
サボテンの花,Kazuo Zaitsu,NQqzxcZxdPI,surprise
Something There - Japanese Version,Eri Ito,TeQLgZGz7cs,surprise
カイト,ARASHI,mTMs1S5td74,surprise
香水,Eito,9MjAJSoaoSo,surprise
For the First Time in Forever - Japanese Version,Sayaka Kanda,MDZSdjLqiGA,surprise
馬と鹿,Kenshi Yonezu,ptnYBctoexk,surprise
サーカスナイト,Tavito Nanao,U8kr_ws3bGY,surprise
ぎゅっと。,もさを。,8RmZFUxos3E,surprise
コンティニュー,cocuri,vzPtRrrUfkY,surprise
All My Life (feat. J. Cole),Lil Durk,Z4N8lzKNfy4,surprise
Myra,Tani Yuuki,_FF1gzosv8k,surprise
In Summer - Japanese Version,Shunsuke Takeuchi,clT4GTdlbPw,surprise
聞こえますか,HoneyWorks,RIqGiYjEJWo,surprise
桜晴,Yuuri,0Tj04LUa-9g,surprise
雨に唄えば,ReoNa,edvN1DfRTZI,surprise
If I Didn't Have You - Hidehiko Ishizuka & Yuji Tanaka Version,Hidehiko Ishizuka,UQrM6yAPsQw,surprise
Kiss The Girl,上條恒彦,TrRbB-qUJfY,surprise
How to,Minty,e1ljAkVuQCA,surprise
たしかなこと feat.菅野樹梨,kobasolo,dpwicjketYI,surprise
#君と僕とが出逢った日,舟津真翔,W5aK_Swc0LE,surprise
今夜のキスで,tonun,-zcLWa2GFz4,surprise
会いたい,もさを。,Egy8RZKxC5k,surprise
Happy Working Song - Japanese Version,Satoko Kimura,4KahgwSrZS4,surprise
Proud Corazón - Japanese Version,Hiiro Ishibashi,e7GcYfcW59s,surprise
ロード,THE TRABRYU,kIdd_KVRI98,surprise
ワダツミの木,Chitose Hajime,xJCW_EJjkLg,surprise
Woody's Roundup - Japanese Version,Takashi Nishiumi,GG5wrBj3rlo,surprise
ラブソング,上野大樹,gNieKej1GAM,surprise
ワダツミの木,Chitose Hajime,xJCW_EJjkLg,surprise
就寝御礼,PSYQUI,mEQZNRT6Pqk,surprise
